流水號,課號,課程識別碼,班次,課程名稱,學分,授課教師,通識領域,加選方式,上課時間,限制條件,人數上限,外系上限,外校上限,已選上人數,已選上外系人數,登記人數,剩餘名額
24619,AtmSci5103,229U5970,,大氣環境概論,3.00,谷邁世,7,3,三234,,47,0,0,43,38,13,4
59935,Ocean5008,241U0750,01,海洋科學概論,2.00,楊穎堅,7,3,五34,,210,0,0,197,197,86,13
46496,Ocean5008,241U0750,02,海洋科學概論,2.00,楊穎堅,7,3,五67,,210,0,0,201,201,101,9
51013,IPCS1003,24710030,,理解氣候變遷,2.00,任昊佳,67,2,五34,,40,0,0,39,39,11,1
66184,IPCS3001,24730100,,氣候變遷對策：地球急轉彎,2.00,謝宜桓,57,2,五67,,42,0,0,37,37,30,5
16442,COSS1001,30010040,,東亞導論,2.00,周嘉辰,5,2,五78,,90,0,6,77,77,16,7
50073,PS4649,30210070,,電影、經典與當代重要政治議題,3.00,陶儀芬,45,2,一678,,80,70,10,69,69,64,1
50398,PS1012,30210350,01,國際關係二,2.00,郭銘傑,5,2,四67,,180,100,0,172,96,76,8
82555,PS4618,30251900,,國際關係概論,2.00,唐欣偉,5,2,四34,,83,83,0,80,80,60,3
42197,PS4644,30254100,,全球通識講座-決策者的危機處理機制,2.00,徐斯勤,5,2,四34,,200,120,80,114,114,101,6
54063,ECON1021,30310120,01,總體經濟學原理與實習,4.00,林明仁,5,2,一5三5五234,,300,0,0,296,133,14,4
63377,ECON1021,30310120,02,總體經濟學原理與實習,4.00,廖珮如,5,2,一5三5五234,,200,0,0,184,55,6,16
74023,ECON1021,30310120,03,總體經濟學原理與實習,4.00,樊家忠,5,2,一5三5五234,,300,0,10,215,77,13,75
50262,ECON1021,30310120,04,總體經濟學原理與實習,4.00,高恩琵,5,2,一5三5五345,,140,0,0,120,30,4,20
83034,ECON2025,30324720,01,深造預備英文寫作與口語表達,3.00,李佳穗,B,2,五678,,30,0,0,28,9,19,2
63030,ECON2025,30324720,02,深造預備英文寫作與口語表達,3.00,李佳穗,B,2,五789,,30,0,0,28,10,15,2
